NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
ZOVIRAX OINTMENT|ACYCLOVIR|WELLCOME FOUNDATIONS LTD. LANGLEY COURT BECKENHAM KENT BR313BS|04-1380
MAG-O SIL TABS|MAGNESIUM TRISILICATE 250MG ALUMINIUM HYDROXIDE 120MG|YATAN PVT LTD.,  PLOT 80 GENESIS IND., ESTATE KALGAON PALGHAR, INDIA|04-0889
VITAMIN C TABLET|VITAMIN C 100MG|SAME AS APPLICANT|04-1173
DECAVIT -PLUS|MULTIVITAMINS PLUS MINERALS|GLAXOWELLCOME EGYPT S.A.E. EL SALAM ST, 11491 CAIRO, A.R.E|04-0884
CHEMIRON CAPS|FERROUS FUMARATE 100MG FOLIC ACID 2MG VITB12 5MG VIT A-I0,000 I.U  VIT C 30MG VIT E 3MG VIT B1-1MG VIT B2 1.5MG VITB 6 1.5MG' NICOTINAMIDE 10MG MG OXIDE 50MG ZINC SO4 %MG|CHEMIRON INT., LTD., PLOT 12, BLOCK 6,METAL BOX ROAD OGBA IKEJA|04-0944
FEROTAL BLOOD X 200ML|ZN 2MG/5ML,FE 40MG/5ML,VIT B12 3MCG/5ML,FOLIC ACID 200MCG/5ML|SAME AS APPLICANT|
CARDIPIN-SR 20 TABLETS|NIIFEDIPINE 20MG|STALLION LABORATORIES (P) LTD.G.I,D.C.(KERALA) BAVIA DIST. AHMEDABAD, INDIA|04-3853
ORITAXIM INJ|CEFOTAXIM 250MG , 500MG, 1G.|CADILA PHARMACEUTICAL LTD 244 GHODASAR AHMADABAD,380050|04-0719
TISCOL ANTISEPTIC LIQUID|DICHOROXYLENOL 1.2%W/V|TISCO NIGERIA LTD. 23,ASSOICIATION AVENUE, ILUPEJU, LAGOS|04-1165
BAYGON AEROSOL|PROPOXUR 2% V/V, DICLOROVOS 1%V/V|SAME AS APPLICANT|04-1079
BAYGON COIL|TRANSFLUTHRIN|SAME AS APPLICANT|04-1274
BAYGON DUST|PROPOXUR 1.1%W/W|SAME AS APPLICANT|04-1154
BAYGON OIL SPRAY|PROPOXUR 0.5%, DICHLORVOS 0.5%, CYFLUTHRIN 0.02%|SAME AS APPLICANT|04-1153
ATIVAN TABS|LORAZEPAM 1MG,2MG|WYETH PHARMA GMBH04-0482|04-0482
DANACID TABLET|MAGNESIUM TRISILICATE|DANA PTCALS PVT LTD. 1ST FLOOR,PLOT NO.34, MORIVALI AMBERNATH|04-1068
COLTAB TABLET|PARACETAMOL 500MG, CAFFEINE 30MG. PSEUDOEPHEDRINE 30MG CHLORPHENIRAMINE MALEATE 2MG|FALMA LABS PVT 54A IND. AREA HOSKOTE BANGALORE, INDIA|04-0584
ANAFRANIL SR TABS.|CLOMIPRAMINE HCL 25MG|CIBA-GEIGY LTD.,BASLE ,SWITZERLAND|04-0618
UROGRAFIN 76% INJECTION|AMIDOTRIZOIC ACID|SCHERING AG, PHARM DIVISION MULLERSTRASSE 170-176 D-13342, BERLIN, GERMANY|04-1371
ERIZOLE TABS|MEBENDAZOLE 200MG|EFROZE CHEMICAL IND. (PVT) LTD. 146/23 KORANGI INDUSTRIAL AREA KARACHI|04-0903
RANFERON -12 CAPS|FERROUS FUMARATE 350MG, FOLIC ACID 0.7MG,VIT C75MG ZNSO4 5MG, CYANOCOBALAMINE 5MG|RANBAXY LAB. LTD.,  IND. AREA-3 DEWAS, INDIA|04-0869
GRIPE WATER LIQUID|CONCENTRATED DILL WATER 0.13ML, SODIUM BICARBONATE 50MG|SAME AS APPLICANT|04-1326
MENTHODEX MIXTURE|PARACETAMOL 300MG/2ML|BELL SONS & CO. LTD.,   SLAIDBURN CRESCENT SOUTH  PORT MERSEYSIDE PR GAL ENGLAND.|04-0971
TRAVOGEN CREAM|ISOCONAZOLE NITRATE 10MG|SCHERING AG, PHARM DIVISION MULLERSTRASSE 170-176 D-13342, BERLIN, GERMANY|04-1168
ZANTAC TABS.|RANITIDINE 150MG,300MG|GLAXO OPERATION UK LTD.,  GREENFORD MIDDLESSEX, ENGLAND|04-0430
POLYCROL FORTE GEL SUSPENSION|ALUMINIUM HYDROXIDE GEL 200MG, MAGNESIUM HYDROXIDE 1000MG, ACTIVATED METHYL POLYSILOXANE 120MG|SAME AS APPLICANT|04-1252
LIGNOCAINE ADRENALINE INJ|LIGNOCAINE HCL. AND ADRENALINE 0.5%,1% AND 2%|HELM PHARMACEUTICALS GMBH NORDAKANASTRABE 28-D2 000,HAMBURG|04-0128
LIGNOCAINE HCL INJ|LIGNOCAINE HCL.2%|HELM PHARMACEUTICALS GMBH NORDAKANASTRABE 28-D2 000,HAMBURG|04-0127
WATER FOR INJ|WATER FOR INJECTION|VIFOR INDIA PVTT LTD. PLOT 55/56 SECTOR II KANDLA FREE TRADE ZONE.INDIA|04-0662
